entry_time,exit_time,code,size,entry_price,exit_price,fee,tax,pnl
2023-05-25 16:20:01,2023-05-25 19:15:03,TXFF3,1,16243,16274.0,100,130,5970.0
2023-05-25 19:55:01,2023-05-25 20:25:02,TXFF3,1,16286,16290.0,100,130,570.0
2023-05-26 22:44:57,2023-05-26 23:50:00,TXFF3,1,16603,16610.0,100,132,1168.0
