,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,200,76,77,16942.58921,16938.0,-917.841999999655,-0.00027086828011446684,2022-03-15 10:10:00,2022-03-15 10:15:00,0 days 00:05:00
1,-200,78,117,16944.406499999997,16899.0,9081.299999999464,0.002679733869698997,2022-03-15 10:20:00,2022-03-15 13:35:00,0 days 03:15:00
2,200,127,147,16995.6067,16871.07,-24907.340000000113,-0.007327581897973667,2022-03-16 09:25:00,2022-03-16 11:05:00,0 days 01:40:00
3,200,192,237,17350.72385,17435.0,16855.2300000003,0.004857212340452444,2022-03-17 09:50:00,2022-03-17 13:35:00,0 days 03:45:00
4,-200,251,297,17377.263609999998,17373.0,852.7219999996305,0.00024535566103423,2022-03-18 09:45:00,2022-03-18 13:35:00,0 days 03:50:00
5,-200,320,357,17555.204869999998,17492.0,12640.97399999955,0.003600349324775376,2022-03-21 10:30:00,2022-03-21 13:35:00,0 days 03:05:00
6,200,434,463,17700.83935,17631.0,-13967.869999999675,-0.003945538887679789,2022-03-23 10:00:00,2022-03-23 12:25:00,0 days 02:25:00
7,-200,464,477,17634.178799999998,17703.0,-13764.240000000427,-0.00390271646786311,2022-03-23 12:30:00,2022-03-23 13:35:00,0 days 01:05:00
8,-200,489,518,17546.20784,17674.863999999998,-25731.231999999727,-0.007332419698500514,2022-03-24 09:35:00,2022-03-24 12:00:00,0 days 02:25:00
9,-200,613,630,17313.28473,17419.0,-21143.05400000012,-0.006106020414301749,2022-03-28 09:55:00,2022-03-28 11:20:00,0 days 01:25:00
10,200,631,657,17429.74992,17481.0,10250.016000000323,0.0029403795370117614,2022-03-28 11:25:00,2022-03-28 13:35:00,0 days 02:10:00
11,-200,733,734,17713.152729999998,17711.0,430.54599999959464,0.00012153285373939227,2022-03-30 09:55:00,2022-03-30 10:00:00,0 days 00:05:00
